player_id,player_name,primary_role,recent_form,consistency,predicted_next_match_score,archetype
P001,Kasun Perera,Bowler,42.25,6.9384904698356396,42.49,Bowling Specialist
P002,Nuwan Fernando,All-Rounder,52.01800000000001,0.6384904071323227,52.5,Bowling Specialist
P003,Ashan Silva,All-Rounder,52.738,0.6017225274160845,53.23,Bowling Specialist
P004,Dinuka Jayasinghe,Bowler,39.018,5.822393837589485,39.65,Bowling Specialist
P005,Kavindu Madushanka,All-Rounder,51.408,1.1392409753866826,50.88,Bowling Specialist
P006,Shehan Gunaratne,All-Rounder,47.19,0.4021815510438056,47.56,Bowling Specialist
P007,Dasun Wijesinghe,Wicketkeeper-Batter,52.28399999999999,2.985771257146133,51.97,Power Hitter
P008,Chamod Bandara,Batter,58.122,0.7920037878697318,58.21,Power Hitter
P009,Tharindu Lakshan,Bowler,51.446000000000005,2.2521278826922755,49.6,Bowling Specialist
P010,Isuru Dissanayake,Batter,53.2,0.7480307480311225,53.28,Power Hitter
P011,Lahiru Senanayake,Bowler,50.414,1.619577105296319,48.24,Bowling Specialist
P012,Pasindu Rathnayake,Bowler,35.288,0.33826025483346467,36.1,Bowling Specialist
P013,Malith Gunasekara,Batter,48.702000000000005,0.5628676576247724,48.73,Power Hitter
P014,Sandun Weerasinghe,Batter,51.46,1.7231947075127656,52.39,Power Hitter
P015,Ravindu Karunaratne,Batter,61.726,2.1432172078443217,61.79,Power Hitter
P016,Chamara Ekanayake,Bowler,43.80800000000001,7.588680385943263,42.99,Bowling Specialist
P017,Janith Abeysekara,Bowler,41.504,6.743132061586811,42.03,Bowling Specialist
P018,Supun Samarakoon,All-Rounder,48.332,0.7144018477019785,48.53,Bowling Specialist
P019,Harith Wickramasinghe,Batter,53.25,1.3066943024288429,52.83,Power Hitter
P020,Akila Rajapaksha,Batter,53.448,2.0708259221866028,52.86,Power Hitter
P021,Dilshan Hettiarachchi,All-Rounder,46.952,0.5095291944530742,47.32,Bowling Specialist
P022,Sahan Amarasinghe,All-Rounder,54.36800000000001,3.4158483572898852,54.47,Bowling Specialist
P023,Thimira Pathirana,All-Rounder,53.012,1.4032355468701603,53.29,Bowling Specialist
P024,Vihanga Samarasinghe,All-Rounder,47.38399999999999,0.7590652145896304,46.98,Bowling Specialist
P025,Ruchira Herath,Bowler,49.986,1.7664880412841744,47.79,Bowling Specialist
P026,Minura Alwis,Batter,46.606,0.9190375400384904,46.72,Power Hitter
P027,Yasiru Kulatunga,Batter,58.0,0.7099647878592301,58.47,Power Hitter
P028,Chethiya Ranasinghe,Batter,54.548,0.6475878318807428,55.11,Power Hitter
P029,Sasindu Mendis,Batter,49.245999999999995,0.8137444316245732,49.44,Power Hitter
P030,Thilina De Silva,Bowler,36.14,0.2292378677269521,36.76,Bowling Specialist
P031,Danuka Kodithuwakku,Wicketkeeper-Batter,49.114,3.7178932206291244,46.71,Power Hitter
P032,Avishka Peiris,Batter,56.636,0.7118848221447068,56.64,Power Hitter
P033,Shenal Peris,Wicketkeeper-Batter,48.495999999999995,6.197360728568251,47.94,Power Hitter
P034,Kalana Jayawardena,Batter,54.124,1.576556373873131,54.0,Power Hitter
P035,Rashmika Gamage,Batter,61.096000000000004,2.800665992223993,61.04,Power Hitter
P036,Tharuka Nissanka,Batter,52.766000000000005,1.6921377012524723,52.57,Power Hitter
P037,Imesh Karunarathne,Bowler,36.769999999999996,0.2605762844159087,37.41,Bowling Specialist
P038,Pulasthi Edirisinghe,Bowler,49.41799999999999,1.9185854163940685,48.07,Bowling Specialist
P039,Hasitha Liyanage,Wicketkeeper-Batter,41.016,3.8626454665164385,39.54,Power Hitter
P040,Senura Weerasekara,Batter,55.926,0.7415726532174697,56.14,Power Hitter
P041,Mohamed Rizwan,Bowler,49.656,0.11502173707608683,48.3,Bowling Specialist
P042,Akeel Nazeer,Wicketkeeper-Batter,50.96,1.1291811192187031,51.13,Power Hitter
P043,Fazil Ahamed,All-Rounder,47.196000000000005,4.576224426314776,47.76,Bowling Specialist
P044,Rifhan Mubeen,Bowler,41.358,7.120025983098656,42.0,Bowling Specialist
P045,Kavin Rajendran,Bowler,38.392,5.518126493657062,39.2,Bowling Specialist
P046,Arun Prakash,Wicketkeeper-Batter,46.758,2.75079443070543,46.67,Power Hitter
P047,Tharshan Sivarajah,Bowler,36.312,0.8153956095049812,35.94,Bowling Specialist
P048,Vimalan Jeyakumar,Bowler,48.90599999999999,0.42376880489247876,48.27,Bowling Specialist
P049,Nimalan Tharmalingam,All-Rounder,52.541999999999994,1.2090988379781036,51.15,Bowling Specialist
P050,Roshan Mahendran,Batter,54.052,2.2302959444880823,53.18,Power Hitter
P051,Praveen Kanagaratnam,Batter,50.046,1.4575939077809024,50.64,Power Hitter
P052,Sanjaya Premathilake,Batter,54.55,1.2381033882515617,55.19,Power Hitter
P053,Udara Abeyratne,Batter,57.23,1.0759182125050204,57.19,Power Hitter
P054,Chathura Mallawarachchi,Bowler,35.778,0.522130251948687,36.36,Bowling Specialist
P055,Navindu Kularatne,All-Rounder,50.50599999999999,1.0914119295664684,49.99,Bowling Specialist
P056,Binura Tennakoon,Bowler,37.321999999999996,1.909769619613843,36.85,Bowling Specialist
